CustomerID,Gender,Age,Tenure,ContractType,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,TechSupport,StreamingTV,OnlineSecurity,PaperlessBilling,Churn
CUST00031,Male,43,35,Month-to-month,No,39.59,1439.13,Bank transfer,No,Yes,No,Yes,1
CUST00032,Male,38,63,Month-to-month,DSL,63.45,3940.7,Bank transfer,Yes,No,No,Yes,0
CUST00033,Female,25,12,Month-to-month,DSL,62.94,808.47,Electronic check,No,Yes,No,Yes,1
CUST00034,Female,38,17,Month-to-month,DSL,43.8,715.95,Credit card,No,No,No,No,0
CUST00035,Female,74,20,Month-to-month,DSL,46.85,1028.29,Electronic check,Yes,No,No,Yes,0
CUST00036,Male,28,64,Month-to-month,Fiber optic,58.82,3806.48,Electronic check,No,Yes,No,Yes,1
CUST00037,Female,55,7,Month-to-month,DSL,53.6,416.4,Credit card,Yes,No,No,No,1
CUST00038,Male,25,47,Month-to-month,DSL,50.19,2292.75,Electronic check,Yes,Yes,Yes,No,0
CUST00039,Male,59,42,Month-to-month,DSL,45.24,1811.88,Mailed check,Yes,No,No,Yes,0
CUST00040,Male,41,52,Two year,Fiber optic,77.06,3967.32,Mailed check,Yes,No,No,Yes,0
CUST00041,Male,78,26,Two year,Fiber optic,77.65,1977.88,Bank transfer,No,Yes,No,Yes,0
CUST00042,Male,52,18,Month-to-month,Fiber optic,54.13,958.29,Credit card,No,No,No,Yes,1
CUST00043,Female,72,22,Two year,DSL,54.56,1140.66,Mailed check,No,No,No,No,0
CUST00044,Female,31,49,One year,Fiber optic,57.42,2860.92,Bank transfer,No,No,No,Yes,0
CUST00045,Female,72,50,Month-to-month,DSL,63.51,3186.64,Electronic check,No,No,No,Yes,0
CUST00046,Female,31,42,Month-to-month,DSL,63.84,2573.6,Bank transfer,Yes,No,No,Yes,0
CUST00047,Female,27,50,Two year,Fiber optic,75.78,3764.99,Bank transfer,No,Yes,No,No,0
CUST00048,Male,29,68,One year,Fiber optic,77.77,5307.57,Mailed check,No,No,Yes,Yes,0
CUST00049,Female,55,40,One year,DSL,51.78,2048.98,Bank transfer,Yes,Yes,No,Yes,0
CUST00050,Female,61,71,Two year,Fiber optic,65.68,4605.48,Credit card,No,No,Yes,Yes,0
CUST00051,Male,72,10,Month-to-month,DSL,57.63,522.4,Electronic check,No,Yes,Yes,Yes,1
CUST00052,Female,63,51,Month-to-month,DSL,41.88,2138.96,Credit card,No,Yes,No,Yes,0
CUST00053,Male,51,22,Month-to-month,Fiber optic,78.77,1663.22,Electronic check,Yes,Yes,Yes,Yes,1
CUST00054,Female,58,48,Month-to-month,DSL,23.63,1126.7,Credit card,Yes,No,Yes,Yes,1
CUST00055,Male,27,37,Month-to-month,No,48.57,1765.17,Electronic check,Yes,No,No,Yes,0
CUST00056,Female,75,46,Month-to-month,Fiber optic,75.67,3501.68,Credit card,No,No,No,Yes,0
CUST00057,Female,34,71,Month-to-month,Fiber optic,47.34,3381,Electronic check,No,No,No,Yes,0
CUST00058,Male,34,6,Month-to-month,Fiber optic,62.65,471.7,Mailed check,No,No,No,Yes,1
CUST00059,Male,20,65,Month-to-month,Fiber optic,74.25,4808.72,Bank transfer,No,Yes,Yes,No,1
CUST00060,Male,79,61,Month-to-month,Fiber optic,83.52,5147.11,Bank transfer,No,No,No,Yes,1
CUST00061,Male,48,28,Month-to-month,DSL,58.8,1676.9,Bank transfer,Yes,No,No,Yes,1
CUST00062,Male,68,37,Month-to-month,Fiber optic,58.14,2097.73,Bank transfer,No,Yes,No,No,0
CUST00063,Male,18,32,One year,DSL,62.83,2096.89,Electronic check,No,No,Yes,Yes,0
CUST00064,Male,29,28,Two year,DSL,32.41,914.35,Credit card,No,No,Yes,Yes,0
CUST00065,Male,56,22,Month-to-month,Fiber optic,70.51,1630.55,Credit card,No,Yes,No,No,1
CUST00066,Female,21,2,Month-to-month,Fiber optic,79.86,103.38,Mailed check,No,No,Yes,Yes,1
CUST00067,Female,59,44,Two year,No,59.06,2646.41,Bank transfer,Yes,Yes,Yes,Yes,0
CUST00068,Male,30,7,Month-to-month,DSL,51.9,276.34,Bank transfer,No,Yes,Yes,No,1
CUST00069,Female,51,28,One year,Fiber optic,60.31,1565.41,Mailed check,No,No,No,No,1
CUST00070,Female,59,1,Month-to-month,Fiber optic,69.98,175.38,Bank transfer,No,No,No,Yes,1
CUST00071,Female,38,49,One year,DSL,50.24,2509.5,Mailed check,No,Yes,No,Yes,0
CUST00072,Female,39,64,Two year,DSL,72.6,4715.74,Bank transfer,No,Yes,No,Yes,0
CUST00073,Male,74,19,One year,DSL,42.19,786.82,Credit card,Yes,No,No,Yes,0
CUST00074,Female,21,51,Month-to-month,Fiber optic,67.09,3389.71,Mailed check,No,Yes,No,Yes,1
CUST00075,Male,35,36,Two year,DSL,44.93,1650.28,Credit card,No,No,No,Yes,0
CUST00076,Female,22,71,One year,DSL,55.05,3853.61,Bank transfer,No,Yes,No,Yes,0
CUST00077,Female,36,26,One year,Fiber optic,52.87,1319.46,Credit card,No,No,Yes,No,0
CUST00078,Female,19,46,Month-to-month,Fiber optic,79.75,3639.11,Credit card,No,No,Yes,Yes,0
CUST00079,Male,29,5,One year,No,46.05,277.01,Electronic check,No,No,Yes,Yes,0
CUST00080,Female,34,59,Month-to-month,Fiber optic,83.28,4859.93,Bank transfer,No,No,No,No,0
CUST00081,Male,27,44,Month-to-month,No,39.44,1785.39,Electronic check,Yes,No,Yes,Yes,1
CUST00082,Female,51,43,Month-to-month,DSL,57.05,2474.74,Mailed check,Yes,No,No,No,0
CUST00083,Male,23,17,Month-to-month,DSL,44.71,782.86,Electronic check,No,No,No,Yes,1
CUST00084,Female,25,64,One year,No,34.53,2127.93,Bank transfer,Yes,No,Yes,Yes,0
CUST00085,Male,78,24,One year,Fiber optic,72.5,1706.8,Electronic check,No,Yes,Yes,No,0
CUST00086,Male,68,26,Month-to-month,DSL,52.3,1348.8,Electronic check,Yes,Yes,Yes,Yes,1
CUST00087,Female,28,6,One year,Fiber optic,85.23,527.91,Bank transfer,No,No,No,Yes,0
CUST00088,Male,74,43,Two year,Fiber optic,73.83,3142.72,Credit card,No,No,No,No,0
CUST00089,Female,29,28,Month-to-month,Fiber optic,54.67,1611.74,Mailed check,No,No,No,Yes,0
CUST00090,Female,26,43,Month-to-month,Fiber optic,68.08,2913.68,Electronic check,No,Yes,No,Yes,0
CUST00091,Female,19,35,Month-to-month,Fiber optic,58.74,2073.05,Bank transfer,Yes,No,Yes,No,1
CUST00092,Female,25,18,Month-to-month,Fiber optic,70.32,1268.2,Electronic check,No,No,No,No,1
CUST00093,Female,75,5,Month-to-month,Fiber optic,66.26,366.75,Mailed check,No,No,No,Yes,1
CUST00094,Female,28,24,Month-to-month,Fiber optic,42.48,1019.64,Mailed check,No,Yes,No,Yes,1
CUST00095,Female,77,30,Month-to-month,Fiber optic,76.39,2229,Mailed check,Yes,No,Yes,Yes,1
CUST00096,Female,70,8,Two year,Fiber optic,69.47,537.03,Electronic check,No,Yes,No,Yes,1
CUST00097,Female,53,36,One year,DSL,61.2,2157.74,Credit card,Yes,No,Yes,Yes,0
CUST00098,Female,27,26,Month-to-month,DSL,49.17,1172.96,Credit card,No,No,Yes,Yes,0
CUST00099,Female,38,12,Month-to-month,Fiber optic,67.37,866.51,Credit card,No,No,No,Yes,1
CUST00100,Male,37,40,Month-to-month,DSL,41.81,1750.2,Bank transfer,No,No,No,No,0
CUST00101,Male,65,65,Month-to-month,DSL,27.14,1751.8,Credit card,No,No,Yes,Yes,0
CUST00102,Female,25,23,Month-to-month,DSL,67.24,1536.41,Credit card,Yes,Yes,No,No,0
CUST00103,Female,53,43,Month-to-month,DSL,36.71,1543.22,Mailed check,No,No,No,No,0
CUST00104,Female,46,59,Month-to-month,Fiber optic,84.16,4967.16,Bank transfer,No,Yes,No,Yes,1
CUST00105,Female,59,8,Month-to-month,DSL,53.14,499.08,Mailed check,No,No,Yes,Yes,1
CUST00106,Female,29,1,Month-to-month,DSL,57.53,133.39,Electronic check,No,No,No,No,1
CUST00107,Female,78,55,One year,Fiber optic,71.92,3962.04,Electronic check,No,No,Yes,Yes,0
CUST00108,Female,31,29,Month-to-month,Fiber optic,71.03,1975.44,Mailed check,No,No,No,Yes,0
CUST00109,Female,65,21,Month-to-month,DSL,35.43,797.42,Bank transfer,No,No,No,Yes,1
CUST00110,Male,71,12,Month-to-month,DSL,64.87,743.64,Credit card,No,Yes,Yes,Yes,0
CUST00111,Female,67,70,Two year,No,46.7,3247.78,Credit card,Yes,No,Yes,Yes,0
CUST00112,Male,38,15,One year,DSL,59.65,916.44,Bank transfer,No,No,No,Yes,0
CUST00113,Female,39,44,Month-to-month,No,20,845.22,Credit card,No,No,No,Yes,0
CUST00114,Female,38,64,Two year,DSL,53.68,3457.05,Credit card,No,No,Yes,No,0
CUST00115,Male,61,10,Month-to-month,DSL,21.89,209.02,Mailed check,No,No,Yes,Yes,1
CUST00116,Female,67,69,Two year,DSL,44.41,3027.95,Electronic check,No,Yes,Yes,Yes,0
CUST00117,Male,47,19,Month-to-month,DSL,58.49,1128.26,Bank transfer,Yes,Yes,No,Yes,0
CUST00118,Female,56,62,Month-to-month,Fiber optic,67.65,4163.17,Bank transfer,No,Yes,No,No,0
CUST00119,Female,37,11,One year,No,44.99,493.45,Credit card,No,No,No,No,0
CUST00120,Male,41,61,Month-to-month,No,35.55,2101.23,Credit card,Yes,Yes,No,Yes,1
CUST00121,Female,40,41,One year,Fiber optic,50.01,2118.34,Electronic check,Yes,No,No,No,1
CUST00122,Male,24,68,Month-to-month,Fiber optic,66.36,4437.92,Bank transfer,No,Yes,Yes,No,1
CUST00123,Female,26,57,One year,Fiber optic,80.4,4575.66,Mailed check,No,No,Yes,Yes,0
CUST00124,Male,18,4,Month-to-month,Fiber optic,80.81,360.23,Electronic check,Yes,No,No,No,1
CUST00125,Male,43,26,Month-to-month,DSL,52.21,1413.23,Mailed check,No,Yes,Yes,No,1
CUST00126,Female,55,27,Two year,DSL,48.38,1303.02,Electronic check,No,Yes,No,Yes,0
CUST00127,Female,55,25,Two year,Fiber optic,75.66,1866.05,Mailed check,Yes,No,No,No,0
CUST00128,Male,71,48,Two year,Fiber optic,91.66,4407.27,Mailed check,No,No,Yes,Yes,1
CUST00129,Female,78,20,One year,Fiber optic,54.07,1006.5,Mailed check,No,No,No,No,0
CUST00130,Female,61,0,One year,Fiber optic,59.76,-114.42,Bank transfer,Yes,Yes,Yes,Yes,1
CUST00131,Female,39,57,Month-to-month,Fiber optic,68.88,3926.78,Credit card,Yes,No,Yes,Yes,1
CUST00132,Male,61,54,Month-to-month,Fiber optic,75.34,4080.41,Bank transfer,No,No,Yes,No,1
CUST00133,Male,27,25,Month-to-month,No,28.88,725.24,Mailed check,Yes,Yes,No,No,1
CUST00134,Male,72,24,Month-to-month,DSL,45.02,1091.81,Credit card,No,No,No,No,1
CUST00135,Male,79,32,Two year,No,35.28,1200.66,Mailed check,No,No,Yes,Yes,0
CUST00136,Male,75,71,Month-to-month,Fiber optic,54.45,3867.73,Electronic check,No,Yes,No,Yes,1
CUST00137,Male,23,68,Two year,Fiber optic,90.61,6183.89,Credit card,No,No,Yes,No,0
CUST00138,Male,34,5,Month-to-month,Fiber optic,88.46,419.33,Bank transfer,No,No,No,Yes,1
CUST00139,Male,68,22,One year,Fiber optic,53,1105.85,Mailed check,Yes,Yes,No,No,0
CUST00140,Male,67,29,Month-to-month,Fiber optic,49.8,1484.52,Credit card,No,No,No,No,1
CUST00141,Female,55,53,Month-to-month,Fiber optic,92.69,4801.69,Bank transfer,No,No,No,Yes,1
CUST00142,Male,41,10,Two year,DSL,74.94,657.78,Electronic check,No,No,Yes,Yes,0
CUST00143,Female,68,30,Month-to-month,Fiber optic,94.77,2927.32,Mailed check,No,No,Yes,Yes,1
CUST00144,Female,27,5,Month-to-month,DSL,47.34,264.62,Bank transfer,No,No,No,Yes,1
CUST00145,Female,73,10,Month-to-month,No,39.42,409.17,Credit card,No,No,No,Yes,1
CUST00146,Male,25,11,Month-to-month,DSL,51.45,659.59,Electronic check,No,Yes,No,Yes,1
CUST00147,Male,38,65,Month-to-month,Fiber optic,86.34,5644.19,Mailed check,No,No,Yes,No,1
CUST00148,Male,73,52,One year,No,42.97,2190.93,Bank transfer,No,No,No,Yes,0
CUST00149,Male,23,35,Month-to-month,No,40.32,1379.03,Electronic check,Yes,No,No,Yes,1
CUST00150,Female,38,16,Month-to-month,Fiber optic,80.35,1358.7,Electronic check,No,No,Yes,No,0
CUST00151,Male,74,27,Month-to-month,Fiber optic,58.17,1562.98,Bank transfer,No,No,No,Yes,0
CUST00152,Male,79,21,One year,DSL,58.15,1217.75,Mailed check,Yes,No,No,Yes,0
CUST00153,Male,56,6,One year,DSL,50.93,235.36,Bank transfer,No,No,Yes,Yes,1
CUST00154,Male,41,14,Month-to-month,DSL,57.8,777.73,Electronic check,No,Yes,Yes,Yes,1
CUST00155,Male,50,10,Month-to-month,Fiber optic,94.89,946.95,Electronic check,Yes,Yes,Yes,Yes,1
CUST00156,Female,76,23,Month-to-month,DSL,47.74,1161.55,Credit card,No,No,Yes,Yes,0
CUST00157,Male,35,66,One year,Fiber optic,81.57,5463.61,Mailed check,No,Yes,No,Yes,0
CUST00158,Female,73,29,One year,DSL,48.58,1430.27,Bank transfer,No,Yes,No,No,0
CUST00159,Male,45,69,Two year,Fiber optic,68.6,4765.87,Mailed check,No,Yes,No,No,0
CUST00160,Female,74,65,Month-to-month,Fiber optic,66.28,4291.48,Mailed check,No,Yes,Yes,Yes,1
CUST00161,Male,69,60,Month-to-month,Fiber optic,90.39,5379.25,Electronic check,Yes,Yes,No,No,1
CUST00162,Male,49,40,Month-to-month,DSL,39.21,1556.41,Credit card,No,Yes,No,No,0
CUST00163,Female,29,50,Month-to-month,DSL,46.84,2373.92,Bank transfer,No,Yes,Yes,Yes,1
CUST00164,Female,65,43,Month-to-month,DSL,52.82,2212.79,Bank transfer,No,Yes,No,Yes,0
CUST00165,Female,59,12,Month-to-month,DSL,53.91,592.66,Credit card,No,Yes,No,Yes,1
CUST00166,Male,44,11,One year,Fiber optic,67.89,786.85,Credit card,Yes,Yes,No,Yes,0
CUST00167,Female,27,8,Month-to-month,DSL,53.76,333.68,Electronic check,No,No,No,Yes,1
CUST00168,Male,63,47,One year,DSL,66.11,3039.57,Electronic check,No,Yes,No,Yes,0
CUST00169,Male,74,48,Month-to-month,Fiber optic,74.46,3563.97,Bank transfer,Yes,No,No,Yes,0
CUST00170,Female,69,52,Two year,Fiber optic,46.13,2515.11,Credit card,No,Yes,No,Yes,0
CUST00171,Female,59,55,Two year,DSL,69.83,3809.43,Mailed check,Yes,Yes,Yes,No,0
CUST00172,Male,49,39,Two year,DSL,52.78,2071.89,Mailed check,Yes,No,No,No,0
CUST00173,Male,59,23,One year,DSL,54.75,1249.97,Credit card,Yes,No,Yes,Yes,0
CUST00174,Female,43,71,One year,Fiber optic,51.01,3617.53,Bank transfer,No,Yes,Yes,Yes,0
CUST00175,Female,42,32,Month-to-month,Fiber optic,68.8,2094.82,Mailed check,No,Yes,No,No,0
CUST00176,Female,28,22,Month-to-month,Fiber optic,42.85,1014.07,Mailed check,Yes,Yes,No,No,1
CUST00177,Male,40,53,One year,DSL,37.32,1934.51,Credit card,No,No,No,No,0
CUST00178,Male,51,52,One year,Fiber optic,70.47,3598.02,Electronic check,Yes,Yes,No,Yes,1
CUST00179,Male,74,48,Two year,Fiber optic,76.88,3810.09,Mailed check,No,Yes,No,Yes,0
CUST00180,Male,69,48,Month-to-month,Fiber optic,79.59,3799.5,Electronic check,Yes,No,No,No,1
CUST00181,Male,57,59,Month-to-month,Fiber optic,65.85,3954.36,Mailed check,No,Yes,No,No,0
CUST00182,Male,79,64,One year,DSL,67,4230.19,Bank transfer,No,Yes,No,No,0
CUST00183,Female,40,31,Two year,DSL,58.94,1875.31,Electronic check,No,Yes,No,No,0
CUST00184,Male,46,20,Month-to-month,Fiber optic,54.37,1131.35,Bank transfer,Yes,Yes,No,Yes,1
CUST00185,Male,48,17,Month-to-month,DSL,37.67,630.02,Electronic check,No,Yes,Yes,Yes,0
CUST00186,Male,24,59,Month-to-month,DSL,45.2,2677.13,Credit card,No,No,No,Yes,0
CUST00187,Female,57,12,Month-to-month,Fiber optic,69.04,785.93,Credit card,No,No,No,Yes,1
CUST00188,Male,50,23,Month-to-month,Fiber optic,77.33,1830.01,Mailed check,No,No,No,No,1
CUST00189,Male,38,29,Month-to-month,Fiber optic,87,2518.11,Bank transfer,No,No,No,No,1
CUST00190,Female,19,1,Two year,DSL,37.42,-36.92,Electronic check,Yes,No,No,Yes,1
CUST00191,Male,35,24,Month-to-month,DSL,35.73,887.19,Bank transfer,No,No,No,Yes,0
CUST00192,Male,64,49,Month-to-month,DSL,40.5,1990.47,Bank transfer,No,No,Yes,No,1
CUST00193,Male,50,13,One year,Fiber optic,80.66,1056.98,Mailed check,No,No,Yes,Yes,0
CUST00194,Male,54,5,Two year,DSL,58.33,209.98,Credit card,Yes,Yes,Yes,No,0
CUST00195,Male,51,29,Two year,Fiber optic,72.96,2213.34,Electronic check,Yes,Yes,No,Yes,0
CUST00196,Female,37,29,Month-to-month,DSL,58.55,1694.26,Mailed check,No,No,Yes,Yes,0
CUST00197,Female,52,37,Two year,DSL,58.3,2160.37,Bank transfer,No,Yes,Yes,Yes,0
CUST00198,Female,68,57,Month-to-month,Fiber optic,62.64,3568.54,Credit card,No,No,Yes,Yes,1
CUST00199,Male,67,40,One year,No,53.78,2202.36,Credit card,Yes,No,No,Yes,0
CUST00200,Male,78,56,One year,Fiber optic,93.42,5292.02,Electronic check,Yes,No,Yes,Yes,1
CUST00201,Male,71,35,Month-to-month,No,33.07,1176.09,Credit card,No,Yes,Yes,Yes,0
CUST00202,Female,35,63,Month-to-month,Fiber optic,76.25,4883.11,Bank transfer,No,Yes,No,Yes,1
CUST00203,Male,63,15,Month-to-month,DSL,36.27,564.38,Credit card,No,No,Yes,No,0
CUST00204,Male,79,71,Two year,DSL,52.49,3713.1,Bank transfer,No,No,Yes,Yes,0
CUST00205,Female,41,13,Month-to-month,Fiber optic,58.91,735.17,Electronic check,No,No,Yes,No,1
CUST00206,Male,25,30,One year,DSL,50.94,1539.66,Bank transfer,No,No,No,No,0
CUST00207,Female,78,65,Month-to-month,DSL,72.1,4536.23,Credit card,Yes,Yes,Yes,Yes,0
CUST00208,Female,47,67,Month-to-month,DSL,55.97,3741.4,Credit card,No,No,No,Yes,1
CUST00209,Female,61,64,Two year,Fiber optic,83.66,5341.47,Electronic check,No,No,Yes,Yes,0
CUST00210,Male,70,54,One year,DSL,52.23,2782.86,Electronic check,No,No,No,Yes,0
CUST00211,Male,27,39,Two year,DSL,36.18,1409.41,Credit card,Yes,No,No,Yes,0
CUST00212,Male,40,24,Month-to-month,Fiber optic,65.58,1595.59,Electronic check,No,Yes,No,Yes,1
CUST00213,Male,69,24,Month-to-month,DSL,52.85,1297.25,Bank transfer,No,Yes,Yes,Yes,0
CUST00214,Male,66,2,Month-to-month,Fiber optic,97.49,200.75,Mailed check,No,No,No,Yes,1
CUST00215,Male,28,68,Month-to-month,Fiber optic,70.44,4793.13,Bank transfer,No,No,No,Yes,1
CUST00216,Male,19,25,Month-to-month,DSL,37.77,1027.39,Bank transfer,No,No,No,No,0
CUST00217,Female,75,39,One year,Fiber optic,83.62,3339.18,Electronic check,No,No,No,Yes,0
CUST00218,Male,43,37,Month-to-month,DSL,33.52,1216.73,Mailed check,No,No,Yes,No,1
CUST00219,Female,53,37,Month-to-month,Fiber optic,43.55,1668.12,Credit card,Yes,Yes,No,Yes,1
CUST00220,Male,50,67,Month-to-month,Fiber optic,74.32,4938.69,Electronic check,No,No,Yes,Yes,0
CUST00221,Male,64,6,Month-to-month,No,52.87,318.55,Bank transfer,No,Yes,No,No,1
CUST00222,Male,30,29,One year,Fiber optic,83.22,2374.03,Mailed check,No,Yes,No,Yes,1
CUST00223,Female,57,18,Month-to-month,DSL,48.38,899.41,Electronic check,No,No,Yes,No,0
CUST00224,Female,42,34,Month-to-month,Fiber optic,97.01,3259.27,Bank transfer,No,No,No,No,1
CUST00225,Female,21,32,Month-to-month,DSL,60.26,1931.5,Bank transfer,Yes,No,No,Yes,0
CUST00226,Female,59,32,Two year,Fiber optic,55.08,1772.41,Credit card,No,No,Yes,Yes,0
CUST00227,Male,36,37,Two year,DSL,63.55,2313.24,Credit card,Yes,No,No,No,0
CUST00228,Female,35,9,One year,Fiber optic,73.56,687.54,Mailed check,Yes,No,Yes,No,1
CUST00229,Male,54,56,Month-to-month,DSL,66.41,3793.37,Bank transfer,No,No,No,Yes,0
CUST00230,Male,47,27,Month-to-month,Fiber optic,94.77,2572.01,Bank transfer,No,Yes,No,Yes,1
CUST00231,Female,36,37,One year,Fiber optic,89.19,3323.4,Credit card,No,Yes,No,Yes,1
CUST00232,Female,75,15,Two year,DSL,26.98,482.81,Bank transfer,No,No,No,No,0
CUST00233,Female,40,20,Two year,Fiber optic,64.12,1253.17,Credit card,Yes,No,No,No,0
CUST00234,Female,76,5,Two year,Fiber optic,80.91,442.64,Bank transfer,No,Yes,Yes,Yes,1
CUST00235,Female,71,40,Month-to-month,DSL,46.37,1870.44,Credit card,Yes,No,No,No,1
CUST00236,Female,33,14,Two year,DSL,57.52,826.1,Credit card,Yes,No,No,No,0
CUST00237,Female,18,2,One year,Fiber optic,67.34,147.71,Mailed check,Yes,No,Yes,Yes,1
CUST00238,Female,29,42,One year,DSL,46.19,1927.62,Bank transfer,Yes,No,Yes,Yes,0
CUST00239,Male,41,46,Month-to-month,No,20,905.46,Bank transfer,No,No,No,Yes,1
CUST00240,Female,51,13,Month-to-month,DSL,42.01,580.09,Credit card,Yes,No,No,Yes,0
CUST00241,Female,70,65,Month-to-month,DSL,41.02,2736.62,Bank transfer,No,Yes,No,No,0
CUST00242,Male,74,28,Month-to-month,No,52.84,1482,Credit card,No,Yes,Yes,Yes,1
CUST00243,Female,25,3,Month-to-month,No,59,210.75,Mailed check,No,No,No,No,1
CUST00244,Male,35,25,Two year,DSL,39.15,1008.28,Mailed check,No,No,Yes,Yes,0
CUST00245,Male,74,11,Month-to-month,Fiber optic,69.57,800.81,Credit card,No,Yes,No,Yes,1
CUST00246,Female,65,1,Month-to-month,DSL,54.84,22.51,Electronic check,No,No,No,Yes,1
CUST00247,Male,22,16,Month-to-month,Fiber optic,64.1,1023.67,Mailed check,No,No,No,Yes,1
CUST00248,Male,43,34,Month-to-month,Fiber optic,68.77,2290.53,Bank transfer,No,Yes,No,Yes,1
CUST00249,Male,47,9,Two year,DSL,45.04,401.8,Credit card,Yes,No,Yes,No,0
CUST00250,Male,71,42,Month-to-month,DSL,39.36,1619.64,Credit card,No,Yes,Yes,No,1
CUST00251,Female,30,20,Month-to-month,DSL,52.44,1054.84,Mailed check,No,Yes,No,Yes,0
CUST00252,Male,36,14,Two year,DSL,66.3,846.51,Credit card,Yes,Yes,No,Yes,0
CUST00253,Female,46,34,Two year,DSL,31.95,1052.36,Mailed check,No,Yes,No,Yes,0
CUST00254,Male,20,59,Month-to-month,Fiber optic,76.79,4507.7,Credit card,No,No,No,No,1
CUST00255,Male,43,43,One year,DSL,42.53,1845.11,Mailed check,No,No,No,Yes,0
CUST00256,Male,57,4,One year,Fiber optic,67.17,205.56,Bank transfer,Yes,No,No,Yes,1
CUST00257,Male,76,17,One year,Fiber optic,85.15,1455.75,Electronic check,No,No,Yes,Yes,1
CUST00258,Female,75,20,Month-to-month,Fiber optic,70.9,1400.79,Electronic check,No,No,No,Yes,0
CUST00259,Female,75,71,Two year,Fiber optic,78.09,5550.21,Electronic check,No,No,No,Yes,0
CUST00260,Male,29,50,Month-to-month,DSL,60.48,3034.95,Electronic check,No,No,No,No,1
CUST00261,Male,19,40,Month-to-month,Fiber optic,60.08,2437.78,Mailed check,No,No,No,Yes,1
CUST00262,Female,28,23,Month-to-month,DSL,23.76,591.67,Credit card,Yes,No,Yes,Yes,1
CUST00263,Male,61,23,Month-to-month,Fiber optic,69.62,1560.94,Electronic check,No,No,Yes,No,1
CUST00264,Male,45,37,Two year,DSL,46.62,1753.42,Credit card,No,Yes,No,No,0
CUST00265,Male,35,43,Month-to-month,Fiber optic,70.24,2960.06,Mailed check,No,No,Yes,Yes,0
